relative_compactness,surface_area,wall_area,roof_area,overall_height,glazing_area,cooling_load,surface_wall_ratio,height_surface_interaction,log_cooling_load,high_glazing,orientation_3,orientation_4,orientation_5,glazing_area_dist_1,glazing_area_dist_2,glazing_area_dist_3,glazing_area_dist_4,glazing_area_dist_5
0.98,514.5,294.0,110.25,7.0,0.0,21.33,1.75,3601.5,3.1059310658520665,0,False,False,False,False,False,False,False,False
0.98,514.5,294.0,110.25,7.0,0.0,21.33,1.75,3601.5,3.1059310658520665,0,True,False,False,False,False,False,False,False
0.98,514.5,294.0,110.25,7.0,0.0,21.33,1.75,3601.5,3.1059310658520665,0,False,True,False,False,False,False,False,False
0.98,514.5,294.0,110.25,7.0,0.0,21.33,1.75,3601.5,3.1059310658520665,0,False,False,True,False,False,False,False,False
0.9,563.5,318.5,122.5,7.0,0.0,28.28,1.7692307692307692,3944.5,3.3769046890931107,0,False,False,False,False,False,False,False,False
0.9,563.5,318.5,122.5,7.0,0.0,25.38,1.7692307692307692,3944.5,3.2726061472891685,0,True,False,False,False,False,False,False,False
0.9,563.5,318.5,122.5,7.0,0.0,25.16,1.7692307692307692,3944.5,3.264231526588998,0,False,True,False,False,False,False,False,False
0.9,563.5,318.5,122.5,7.0,0.0,29.6,1.7692307692307692,3944.5,3.4210000089583352,0,False,False,True,False,False,False,False,False
0.86,588.0,294.0,147.0,7.0,0.0,27.3,2.0,4116.0,3.342861804649192,0,False,False,False,False,False,False,False,False
0.86,588.0,294.0,147.0,7.0,0.0,21.97,2.0,4116.0,3.134189016701007,0,True,False,False,False,False,False,False,False
0.86,588.0,294.0,147.0,7.0,0.0,23.49,2.0,4116.0,3.1982648709640764,0,False,True,False,False,False,False,False,False
0.86,588.0,294.0,147.0,7.0,0.0,27.87,2.0,4116.0,3.3628029936748436,0,False,False,True,False,False,False,False,False
0.82,612.5,318.5,147.0,7.0,0.0,23.77,1.9230769230769231,4287.5,3.209633243501268,0,False,False,False,False,False,False,False,False
0.82,612.5,318.5,147.0,7.0,0.0,21.46,1.9230769230769231,4287.5,3.1117359493102974,0,True,False,False,False,False,False,False,False
0.82,612.5,318.5,147.0,7.0,0.0,21.16,1.9230769230769231,4287.5,3.098288861879083,0,False,True,False,False,False,False,False,False
0.82,612.5,318.5,147.0,7.0,0.0,24.93,1.9230769230769231,4287.5,3.255400599550573,0,False,False,True,False,False,False,False,False
0.79,637.0,343.0,147.0,7.0,0.0,37.73,1.8571428571428572,4459.0,3.6566144935266607,0,False,False,False,False,False,False,False,False
0.79,637.0,343.0,147.0,7.0,0.0,31.27,1.8571428571428572,4459.0,3.4741380060638702,0,True,False,False,False,False,False,False,False
0.79,637.0,343.0,147.0,7.0,0.0,30.93,1.8571428571428572,4459.0,3.4635460067266908,0,False,True,False,False,False,False,False,False
0.79,637.0,343.0,147.0,7.0,0.0,39.44,1.8571428571428572,4459.0,3.6998193941522706,0,False,False,True,False,False,False,False,False
0.76,661.5,416.5,122.5,7.0,0.0,29.79,1.588235294117647,4630.5,3.427189961936409,0,False,False,False,False,False,False,False,False
0.76,661.5,416.5,122.5,7.0,0.0,29.68,1.588235294117647,4630.5,3.4236109764990554,0,True,False,False,False,False,False,False,False
0.76,661.5,416.5,122.5,7.0,0.0,29.79,1.588235294117647,4630.5,3.427189961936409,0,False,True,False,False,False,False,False,False
0.76,661.5,416.5,122.5,7.0,0.0,29.4,1.588235294117647,4630.5,3.414442608412176,0,False,False,True,False,False,False,False,False
0.74,686.0,245.0,220.5,3.5,0.0,10.9,2.8,2401.0,2.4765384001174837,0,False,False,False,False,False,False,False,False
0.74,686.0,245.0,220.5,3.5,0.0,11.19,2.8,2401.0,2.5006159434931803,0,True,False,False,False,False,False,False,False
0.74,686.0,245.0,220.5,3.5,0.0,10.94,2.8,2401.0,2.479894107964456,0,False,True,False,False,False,False,False,False
0.74,686.0,245.0,220.5,3.5,0.0,11.17,2.8,2401.0,2.498973906999436,0,False,False,True,False,False,False,False,False
0.71,710.5,269.5,220.5,3.5,0.0,11.27,2.6363636363636362,2486.75,2.50715725872282,0,False,False,False,False,False,False,False,False
0.71,710.5,269.5,220.5,3.5,0.0,11.72,2.6363636363636362,2486.75,2.543175557911976,0,True,False,False,False,False,False,False,False
0.71,710.5,269.5,220.5,3.5,0.0,11.29,2.6363636363636362,2486.75,2.5087859235779435,0,False,True,False,False,False,False,False,False
0.71,710.5,269.5,220.5,3.5,0.0,11.67,2.6363636363636362,2486.75,2.5392369943330477,0,False,False,True,False,False,False,False,False
0.69,735.0,294.0,220.5,3.5,0.0,11.74,2.5,2572.5,2.5447466501440172,0,False,False,False,False,False,False,False,False
0.69,735.0,294.0,220.5,3.5,0.0,12.05,2.5,2572.5,2.5687881337687024,0,True,False,False,False,False,False,False,False
0.69,735.0,294.0,220.5,3.5,0.0,11.73,2.5,2572.5,2.543961412569315,0,False,True,False,False,False,False,False,False
0.69,735.0,294.0,220.5,3.5,0.0,11.93,2.5,2572.5,2.559550192783766,0,False,False,True,False,False,False,False,False
0.66,759.5,318.5,220.5,3.5,0.0,12.4,2.3846153846153846,2658.25,2.5952547069568657,0,False,False,False,False,False,False,False,False
0.66,759.5,318.5,220.5,3.5,0.0,12.23,2.3846153846153846,2658.25,2.5824869781268642,0,True,False,False,False,False,False,False,False
0.66,759.5,318.5,220.5,3.5,0.0,12.4,2.3846153846153846,2658.25,2.5952547069568657,0,False,True,False,False,False,False,False,False
0.66,759.5,318.5,220.5,3.5,0.0,12.14,2.3846153846153846,2658.25,2.5756610130564646,0,False,False,True,False,False,False,False,False
0.64,784.0,343.0,220.5,3.5,0.0,16.78,2.2857142857142856,2744.0,2.8780742300857587,0,False,False,False,False,False,False,False,False
0.64,784.0,343.0,220.5,3.5,0.0,16.8,2.2857142857142856,2744.0,2.8791984572980396,0,True,False,False,False,False,False,False,False
0.64,784.0,343.0,220.5,3.5,0.0,16.75,2.2857142857142856,2744.0,2.8763855159214247,0,False,True,False,False,False,False,False,False
0.64,784.0,343.0,220.5,3.5,0.0,16.67,2.2857142857142856,2744.0,2.871868286331605,0,False,False,True,False,False,False,False,False
0.62,808.5,367.5,220.5,3.5,0.0,12.07,2.2,2829.75,2.570319527636131,0,False,False,False,False,False,False,False,False
0.62,808.5,367.5,220.5,3.5,0.0,12.22,2.2,2829.75,2.5817308344235403,0,True,False,False,False,False,False,False,False
0.62,808.5,367.5,220.5,3.5,0.0,12.08,2.2,2829.75,2.5710843460290524,0,False,True,False,False,False,False,False,False
0.62,808.5,367.5,220.5,3.5,0.0,12.04,2.2,2829.75,2.5680215564985067,0,False,False,True,False,False,False,False,False
0.98,514.5,294.0,110.25,7.0,0.1,26.47,1.75,3601.5,3.3130945001071823,0,False,False,False,True,False,False,False,False
0.98,514.5,294.0,110.25,7.0,0.1,26.37,1.75,3601.5,3.309447523052588,0,True,False,False,True,False,False,False,False
0.98,514.5,294.0,110.25,7.0,0.1,26.44,1.75,3601.5,3.3120018028576848,0,False,True,False,True,False,False,False,False
0.98,514.5,294.0,110.25,7.0,0.1,26.29,1.75,3601.5,3.306520334720247,0,False,False,True,True,False,False,False,False
0.9,563.5,318.5,122.5,7.0,0.1,32.92,1.7692307692307692,3944.5,3.5240048109237025,0,False,False,False,True,False,False,False,False
0.9,563.5,318.5,122.5,7.0,0.1,29.87,1.7692307692307692,3944.5,3.429784838514068,0,True,False,False,True,False,False,False,False
0.9,563.5,318.5,122.5,7.0,0.1,29.58,1.7692307692307692,3944.5,3.420346200500916,0,False,True,False,True,False,False,False,False
0.9,563.5,318.5,122.5,7.0,0.1,34.33,1.7692307692307692,3944.5,3.5647324613710536,0,False,False,True,True,False,False,False,False
0.86,588.0,294.0,147.0,7.0,0.1,30.89,2.0,4116.0,3.4622924810219664,0,False,False,False,True,False,False,False,False
0.86,588.0,294.0,147.0,7.0,0.1,25.6,2.0,4116.0,3.280911215787653,0,True,False,False,True,False,False,False,False
0.86,588.0,294.0,147.0,7.0,0.1,27.03,2.0,4116.0,3.333275365176697,0,False,True,False,True,False,False,False,False
0.86,588.0,294.0,147.0,7.0,0.1,31.73,2.0,4116.0,3.4882920885130893,0,False,False,True,True,False,False,False,False
0.82,612.5,318.5,147.0,7.0,0.1,27.31,1.9230769230769231,4287.5,3.343215099123808,0,False,False,False,True,False,False,False,False
0.82,612.5,318.5,147.0,7.0,0.1,24.91,1.9230769230769231,4287.5,3.2546289945740186,0,True,False,False,True,False,False,False,False
0.82,612.5,318.5,147.0,7.0,0.1,24.61,1.9230769230769231,4287.5,3.242982900211434,0,False,True,False,True,False,False,False,False
0.82,612.5,318.5,147.0,7.0,0.1,28.51,1.9230769230769231,4287.5,3.3847291889548483,0,False,False,True,True,False,False,False,False
0.79,637.0,343.0,147.0,7.0,0.1,41.68,1.8571428571428572,4459.0,3.7537304264335525,0,False,False,False,True,False,False,False,False
0.79,637.0,343.0,147.0,7.0,0.1,35.28,1.8571428571428572,4459.0,3.591266625246936,0,True,False,False,True,False,False,False,False
0.79,637.0,343.0,147.0,7.0,0.1,34.43,1.8571428571428572,4459.0,3.5675589188773804,0,False,True,False,True,False,False,False,False
0.79,637.0,343.0,147.0,7.0,0.1,43.33,1.8571428571428572,4459.0,3.7916616487569623,0,False,False,True,True,False,False,False,False
0.76,661.5,416.5,122.5,7.0,0.1,33.87,1.588235294117647,4630.5,3.5516268606875596,0,False,False,False,True,False,False,False,False
0.76,661.5,416.5,122.5,7.0,0.1,34.07,1.588235294117647,4630.5,3.5573460641520867,0,True,False,False,True,False,False,False,False
0.76,661.5,416.5,122.5,7.0,0.1,34.14,1.588235294117647,4630.5,3.559340082758951,0,False,True,False,True,False,False,False,False
0.76,661.5,416.5,122.5,7.0,0.1,33.67,1.588235294117647,4630.5,3.545874759696932,0,False,False,True,True,False,False,False,False
0.74,686.0,245.0,220.5,3.5,0.1,13.43,2.8,2401.0,2.6693093727857793,0,False,False,False,True,False,False,False,False
0.74,686.0,245.0,220.5,3.5,0.1,13.71,2.8,2401.0,2.688527534613346,0,True,False,False,True,False,False,False,False
0.74,686.0,245.0,220.5,3.5,0.1,13.48,2.8,2401.0,2.6727683869575705,0,False,True,False,True,False,False,False,False
0.74,686.0,245.0,220.5,3.5,0.1,13.7,2.8,2401.0,2.6878474937846906,0,False,False,True,True,False,False,False,False
0.71,710.5,269.5,220.5,3.5,0.1,13.8,2.6363636363636362,2486.75,2.6946271807700692,0,False,False,False,True,False,False,False,False
0.71,710.5,269.5,220.5,3.5,0.1,14.28,2.6363636363636362,2486.75,2.7265447837383743,0,True,False,False,True,False,False,False,False
0.71,710.5,269.5,220.5,3.5,0.1,13.87,2.6363636363636362,2486.75,2.6993457604720636,0,False,True,False,True,False,False,False,False
0.71,710.5,269.5,220.5,3.5,0.1,14.27,2.6363636363636362,2486.75,2.725890119230541,0,False,False,True,True,False,False,False,False
0.69,735.0,294.0,220.5,3.5,0.1,14.28,2.5,2572.5,2.7265447837383743,0,False,False,False,True,False,False,False,False
0.69,735.0,294.0,220.5,3.5,0.1,14.61,2.5,2572.5,2.7479117345273405,0,True,False,False,True,False,False,False,False
0.69,735.0,294.0,220.5,3.5,0.1,14.3,2.5,2572.5,2.72785282839839,0,False,True,False,True,False,False,False,False
0.69,735.0,294.0,220.5,3.5,0.1,14.45,2.5,2572.5,2.7376090033437546,0,False,False,True,True,False,False,False,False
0.66,759.5,318.5,220.5,3.5,0.1,13.9,2.3846153846153846,2658.25,2.7013612129514133,0,False,False,False,True,False,False,False,False
0.66,759.5,318.5,220.5,3.5,0.1,13.72,2.3846153846153846,2658.25,2.6892071133007303,0,True,False,False,True,False,False,False,False
0.66,759.5,318.5,220.5,3.5,0.1,13.88,2.3846153846153846,2658.25,2.700018029404946,0,False,True,False,True,False,False,False,False
0.66,759.5,318.5,220.5,3.5,0.1,13.65,2.3846153846153846,2658.25,2.6844403354630764,0,False,False,True,True,False,False,False,False
0.64,784.0,343.0,220.5,3.5,0.1,19.37,2.2857142857142856,2744.0,3.0140632302387145,0,False,False,False,True,False,False,False,False
0.64,784.0,343.0,220.5,3.5,0.1,19.43,2.2857142857142856,2744.0,3.0170044088295307,0,True,False,False,True,False,False,False,False
0.64,784.0,343.0,220.5,3.5,0.1,19.34,2.2857142857142856,2744.0,3.012589390620414,0,False,True,False,True,False,False,False,False
0.64,784.0,343.0,220.5,3.5,0.1,19.32,2.2857142857142856,2744.0,3.011605622710281,0,False,False,True,True,False,False,False,False
0.62,808.5,367.5,220.5,3.5,0.1,14.34,2.2,2829.75,2.73046379593911,0,False,False,False,True,False,False,False,False
0.62,808.5,367.5,220.5,3.5,0.1,14.5,2.2,2829.75,2.740840023925201,0,True,False,False,True,False,False,False,False
0.62,808.5,367.5,220.5,3.5,0.1,14.33,2.2,2829.75,2.7298116928837226,0,False,True,False,True,False,False,False,False
0.62,808.5,367.5,220.5,3.5,0.1,14.27,2.2,2829.75,2.725890119230541,0,False,False,True,True,False,False,False,False
0.98,514.5,294.0,110.25,7.0,0.1,25.95,1.75,3601.5,3.2939832973550063,0,False,False,False,False,True,False,False,False
0.98,514.5,294.0,110.25,7.0,0.1,25.63,1.75,3601.5,3.282038399825841,0,True,False,False,False,True,False,False,False
0.98,514.5,294.0,110.25,7.0,0.1,26.13,1.75,3601.5,3.3006401266708405,0,False,True,False,False,True,False,False,False
0.98,514.5,294.0,110.25,7.0,0.1,25.89,1.75,3601.5,3.2917544702807735,0,False,False,True,False,True,False,False,False
0.9,563.5,318.5,122.5,7.0,0.1,32.54,1.7692307692307692,3944.5,3.5127387563950627,0,False,False,False,False,True,False,False,False
0.9,563.5,318.5,122.5,7.0,0.1,29.44,1.7692307692307692,3944.5,3.415757532993485,0,True,False,False,False,True,False,False,False
0.9,563.5,318.5,122.5,7.0,0.1,29.36,1.7692307692307692,3944.5,3.4131259525274293,0,False,True,False,False,True,False,False,False
0.9,563.5,318.5,122.5,7.0,0.1,34.2,1.7692307692307692,3944.5,3.5610460826040513,0,False,False,True,False,True,False,False,False
0.86,588.0,294.0,147.0,7.0,0.1,30.91,2.0,4116.0,3.462919440290152,0,False,False,False,False,True,False,False,False
0.86,588.0,294.0,147.0,7.0,0.1,25.63,2.0,4116.0,3.282038399825841,0,True,False,False,False,True,False,False,False
0.86,588.0,294.0,147.0,7.0,0.1,27.36,2.0,4116.0,3.344979701663927,0,False,True,False,False,True,False,False,False
0.86,588.0,294.0,147.0,7.0,0.1,31.9,2.0,4116.0,3.493472657771326,0,False,False,True,False,True,False,False,False
0.82,612.5,318.5,147.0,7.0,0.1,27.38,1.9230769230769231,4287.5,3.3456846717318967,0,False,False,False,False,True,False,False,False
0.82,612.5,318.5,147.0,7.0,0.1,25.02,1.9230769230769231,4287.5,3.2588654730843594,0,True,False,False,False,True,False,False,False
0.82,612.5,318.5,147.0,7.0,0.1,24.8,1.9230769230769231,4287.5,3.250374491927572,0,False,True,False,False,True,False,False,False
0.82,612.5,318.5,147.0,7.0,0.1,28.79,1.9230769230769231,4287.5,3.394172766725191,0,False,False,True,False,True,False,False,False
0.79,637.0,343.0,147.0,7.0,0.1,41.07,1.8571428571428572,4459.0,3.7393348976024297,0,False,False,False,False,True,False,False,False
0.79,637.0,343.0,147.0,7.0,0.1,34.62,1.8571428571428572,4459.0,3.5729072778615154,0,True,False,False,False,True,False,False,False
0.79,637.0,343.0,147.0,7.0,0.1,33.87,1.8571428571428572,4459.0,3.5516268606875596,0,False,True,False,False,True,False,False,False
0.79,637.0,343.0,147.0,7.0,0.1,42.86,1.8571428571428572,4459.0,3.781002742989742,0,False,False,True,False,True,False,False,False
0.76,661.5,416.5,122.5,7.0,0.1,33.91,1.588235294117647,4630.5,3.5527733211169448,0,False,False,False,False,True,False,False,False
0.76,661.5,416.5,122.5,7.0,0.1,34.07,1.588235294117647,4630.5,3.5573460641520867,0,True,False,False,False,True,False,False,False
0.76,661.5,416.5,122.5,7.0,0.1,34.17,1.588235294117647,4630.5,3.5601934464858913,0,False,True,False,False,True,False,False,False
0.76,661.5,416.5,122.5,7.0,0.1,33.78,1.588235294117647,4630.5,3.549042508926137,0,False,False,True,False,True,False,False,False
0.74,686.0,245.0,220.5,3.5,0.1,13.39,2.8,2401.0,2.6665335208992764,0,False,False,False,False,True,False,False,False
0.74,686.0,245.0,220.5,3.5,0.1,13.72,2.8,2401.0,2.6892071133007303,0,True,False,False,False,True,False,False,False
0.74,686.0,245.0,220.5,3.5,0.1,13.57,2.8,2401.0,2.6789646202071133,0,False,True,False,False,True,False,False,False
0.74,686.0,245.0,220.5,3.5,0.1,13.79,2.8,2401.0,2.6939512767227085,0,False,False,True,False,True,False,False,False
0.71,710.5,269.5,220.5,3.5,0.1,13.67,2.6363636363636362,2486.75,2.6858045921548905,0,False,False,False,False,True,False,False,False
0.71,710.5,269.5,220.5,3.5,0.1,14.11,2.6363636363636362,2486.75,2.715356776284648,0,True,False,False,False,True,False,False,False
0.71,710.5,269.5,220.5,3.5,0.1,13.8,2.6363636363636362,2486.75,2.6946271807700692,0,False,True,False,False,True,False,False,False
0.71,710.5,269.5,220.5,3.5,0.1,14.21,2.6363636363636362,2486.75,2.7219531062712017,0,False,False,True,False,True,False,False,False
0.69,735.0,294.0,220.5,3.5,0.1,13.2,2.5,2572.5,2.653241964607215,0,False,False,False,False,True,False,False,False
0.69,735.0,294.0,220.5,3.5,0.1,13.54,2.5,2572.5,2.6769034721053733,0,True,False,False,False,True,False,False,False
0.69,735.0,294.0,220.5,3.5,0.1,13.32,2.5,2572.5,2.6616571615324998,0,False,True,False,False,True,False,False,False
0.69,735.0,294.0,220.5,3.5,0.1,13.51,2.5,2572.5,2.6748380668960965,0,False,False,True,False,True,False,False,False
0.66,759.5,318.5,220.5,3.5,0.1,14.86,2.3846153846153846,2658.25,2.7638002162067017,0,False,False,False,False,True,False,False,False
0.66,759.5,318.5,220.5,3.5,0.1,14.75,2.3846153846153846,2658.25,2.7568403652716422,0,True,False,False,False,True,False,False,False
0.66,759.5,318.5,220.5,3.5,0.1,15.0,2.3846153846153846,2658.25,2.772588722239781,0,False,True,False,False,True,False,False,False
0.66,759.5,318.5,220.5,3.5,0.1,14.74,2.3846153846153846,2658.25,2.756205242989257,0,False,False,True,False,True,False,False,False
0.64,784.0,343.0,220.5,3.5,0.1,19.23,2.2857142857142856,2744.0,3.007166651179654,0,False,False,False,False,True,False,False,False
0.64,784.0,343.0,220.5,3.5,0.1,19.34,2.2857142857142856,2744.0,3.012589390620414,0,True,False,False,False,True,False,False,False
0.64,784.0,343.0,220.5,3.5,0.1,19.32,2.2857142857142856,2744.0,3.011605622710281,0,False,True,False,False,True,False,False,False
0.64,784.0,343.0,220.5,3.5,0.1,19.3,2.2857142857142856,2744.0,3.0106208860477417,0,False,False,True,False,True,False,False,False
0.62,808.5,367.5,220.5,3.5,0.1,14.37,2.2,2829.75,2.7324175575505043,0,False,False,False,False,True,False,False,False
0.62,808.5,367.5,220.5,3.5,0.1,14.57,2.2,2829.75,2.745345985845907,0,True,False,False,False,True,False,False,False
0.62,808.5,367.5,220.5,3.5,0.1,14.27,2.2,2829.75,2.725890119230541,0,False,True,False,False,True,False,False,False
0.62,808.5,367.5,220.5,3.5,0.1,14.24,2.2,2829.75,2.7239235502585,0,False,False,True,False,True,False,False,False
0.98,514.5,294.0,110.25,7.0,0.1,25.68,1.75,3601.5,3.283914221047423,0,False,False,False,False,False,True,False,False
0.98,514.5,294.0,110.25,7.0,0.1,26.02,1.75,3601.5,3.2965773325320527,0,True,False,False,False,False,True,False,False
0.98,514.5,294.0,110.25,7.0,0.1,25.84,1.75,3601.5,3.289893312103481,0,False,True,False,False,False,True,False,False
0.98,514.5,294.0,110.25,7.0,0.1,26.14,1.75,3601.5,3.301008654406723,0,False,False,True,False,False,True,False,False
0.9,563.5,318.5,122.5,7.0,0.1,34.14,1.7692307692307692,3944.5,3.559340082758951,0,False,False,False,False,False,True,False,False
0.9,563.5,318.5,122.5,7.0,0.1,32.85,1.7692307692307692,3944.5,3.521938999358284,0,True,False,False,False,False,True,False,False
0.9,563.5,318.5,122.5,7.0,0.1,30.08,1.7692307692307692,3944.5,3.436564525499447,0,False,True,False,False,False,True,False,False
0.9,563.5,318.5,122.5,7.0,0.1,29.67,1.7692307692307692,3944.5,3.4232849781261603,0,False,False,True,False,False,True,False,False
0.86,588.0,294.0,147.0,7.0,0.1,31.73,2.0,4116.0,3.4882920885130893,0,False,False,False,False,False,True,False,False
0.86,588.0,294.0,147.0,7.0,0.1,31.01,2.0,4116.0,3.4660483539817717,0,True,False,False,False,False,True,False,False
0.86,588.0,294.0,147.0,7.0,0.1,25.9,2.0,4116.0,3.292126286607793,0,False,True,False,False,False,True,False,False
0.86,588.0,294.0,147.0,7.0,0.1,27.4,2.0,4116.0,3.3463891451671604,0,False,False,True,False,False,True,False,False
0.82,612.5,318.5,147.0,7.0,0.1,28.68,1.9230769230769231,4287.5,3.39047341829918,0,False,False,False,False,False,True,False,False
0.82,612.5,318.5,147.0,7.0,0.1,27.54,1.9230769230769231,4287.5,3.3513066120486905,0,True,False,False,False,False,True,False,False
0.82,612.5,318.5,147.0,7.0,0.1,25.35,1.9230769230769231,4287.5,3.2714682749873716,0,False,True,False,False,False,True,False,False
0.82,612.5,318.5,147.0,7.0,0.1,24.93,1.9230769230769231,4287.5,3.255400599550573,0,False,False,True,False,False,True,False,False
0.79,637.0,343.0,147.0,7.0,0.1,43.12,1.8571428571428572,4459.0,3.786913194385302,0,False,False,False,False,False,True,False,False
0.79,637.0,343.0,147.0,7.0,0.1,41.22,1.8571428571428572,4459.0,3.7428940424201746,0,True,False,False,False,False,True,False,False
0.79,637.0,343.0,147.0,7.0,0.1,35.1,1.8571428571428572,4459.0,3.586292865338835,0,False,True,False,False,False,True,False,False
0.79,637.0,343.0,147.0,7.0,0.1,34.29,1.8571428571428572,4459.0,3.5635996376871786,0,False,False,True,False,False,True,False,False
0.76,661.5,416.5,122.5,7.0,0.1,33.85,1.588235294117647,4630.5,3.551053137206533,0,False,False,False,False,False,True,False,False
0.76,661.5,416.5,122.5,7.0,0.1,34.11,1.588235294117647,4630.5,3.558485990180341,0,True,False,False,False,False,True,False,False
0.76,661.5,416.5,122.5,7.0,0.1,34.48,1.588235294117647,4630.5,3.5689691574413787,0,False,True,False,False,False,True,False,False
0.76,661.5,416.5,122.5,7.0,0.1,34.5,1.588235294117647,4630.5,3.56953269648137,0,False,False,True,False,False,True,False,False
0.74,686.0,245.0,220.5,3.5,0.1,13.6,2.8,2401.0,2.681021528714291,0,False,False,False,False,False,True,False,False
0.74,686.0,245.0,220.5,3.5,0.1,13.36,2.8,2401.0,2.664446563620078,0,True,False,False,False,False,True,False,False
0.74,686.0,245.0,220.5,3.5,0.1,13.65,2.8,2401.0,2.6844403354630764,0,False,True,False,False,False,True,False,False
0.74,686.0,245.0,220.5,3.5,0.1,13.49,2.8,2401.0,2.673458756332591,0,False,False,True,False,False,True,False,False
0.71,710.5,269.5,220.5,3.5,0.1,14.14,2.6363636363636362,2486.75,2.717340248009303,0,False,False,False,False,False,True,False,False
0.71,710.5,269.5,220.5,3.5,0.1,13.77,2.6363636363636362,2486.75,2.6925980965432883,0,True,False,False,False,False,True,False,False
0.71,710.5,269.5,220.5,3.5,0.1,14.3,2.6363636363636362,2486.75,2.72785282839839,0,False,True,False,False,False,True,False,False
0.71,710.5,269.5,220.5,3.5,0.1,13.87,2.6363636363636362,2486.75,2.6993457604720636,0,False,False,True,False,False,True,False,False
0.69,735.0,294.0,220.5,3.5,0.1,14.44,2.5,2572.5,2.73696154459663,0,False,False,False,False,False,True,False,False
0.69,735.0,294.0,220.5,3.5,0.1,14.27,2.5,2572.5,2.725890119230541,0,True,False,False,False,False,True,False,False
0.69,735.0,294.0,220.5,3.5,0.1,14.67,2.5,2572.5,2.7517480563679295,0,False,True,False,False,False,True,False,False
0.69,735.0,294.0,220.5,3.5,0.1,14.4,2.5,2572.5,2.7343675094195836,0,False,False,True,False,False,True,False,False
0.66,759.5,318.5,220.5,3.5,0.1,13.46,2.3846153846153846,2658.25,2.671386216730619,0,False,False,False,False,False,True,False,False
0.66,759.5,318.5,220.5,3.5,0.1,13.7,2.3846153846153846,2658.25,2.6878474937846906,0,True,False,False,False,False,True,False,False
0.66,759.5,318.5,220.5,3.5,0.1,13.59,2.3846153846153846,2658.25,2.6803363625346943,0,False,True,False,False,False,True,False,False
0.66,759.5,318.5,220.5,3.5,0.1,13.83,2.3846153846153846,2658.25,2.696652156149841,0,False,False,True,False,False,True,False,False
0.64,784.0,343.0,220.5,3.5,0.1,19.14,2.2857142857142856,2744.0,3.0027078872904163,0,False,False,False,False,False,True,False,False
0.64,784.0,343.0,220.5,3.5,0.1,19.18,2.2857142857142856,2744.0,3.004692014925463,0,True,False,False,False,False,True,False,False
0.64,784.0,343.0,220.5,3.5,0.1,19.37,2.2857142857142856,2744.0,3.0140632302387145,0,False,True,False,False,False,True,False,False
0.64,784.0,343.0,220.5,3.5,0.1,19.29,2.2857142857142856,2744.0,3.0101281538377234,0,False,False,True,False,False,True,False,False
0.62,808.5,367.5,220.5,3.5,0.1,14.09,2.2,2829.75,2.7140322727797574,0,False,False,False,False,False,True,False,False
0.62,808.5,367.5,220.5,3.5,0.1,14.23,2.2,2829.75,2.7232671669070703,0,True,False,False,False,False,True,False,False
